[2026-05-05 02:39:33] inconnu | face | ECHEC
[2026-05-05 02:41:15] daniel | face | SUCCES
[2026-05-05 07:08:29] daniel | fingerprint | SUCCES
[2026-05-05 07:08:41] daniel | fingerprint | SUCCES
[2026-05-05 07:14:56] daniel | fingerprint | SUCCES
[2026-05-05 07:15:18] daniel | face | SUCCES
[2026-05-05 07:15:30] daniel | face | SUCCES
[2026-05-05 07:20:11] daniel | face | SUCCES
[2026-05-05 07:20:22] daniel | face | SUCCES
[2026-05-05 07:20:35] daniel | fingerprint | SUCCES
[2026-05-05 07:23:01] daniel | face | SUCCES
[2026-05-05 07:23:24] daniel | fingerprint | SUCCES
[2026-05-05 07:32:26] daniel | fingerprint | SUCCES
[2026-05-05 07:36:21] daniel | fingerprint | SUCCES
[2026-05-05 21:41:10] daniel | fingerprint | SUCCES
[2026-05-05 21:44:53] daniel | fingerprint | SUCCES
[2026-05-05 21:49:54] daniel | fingerprint | SUCCES
[2026-05-05 22:55:14] daniel | fingerprint | SUCCES
[2026-05-05 23:01:10] daniel | fingerprint | SUCCES
